Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,2.0475,nan,0.0,ACT/365.FIXED,9000000.0,PLN,MTH,MTH,Float,0.0,PLN.PLN-WIBOR-WIBO.6M.PLN-WIBOR-WIBO,0.0,ACT/365.FIXED,9000000.0,PLN,MTH,MTH,0.0
Fixed,0.4863,nan,0.0,ACT/365.FIXED,51000000.0,GBP,MTH,MTH,Float,0.0,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,0.0,ACT/365.FIXED,51000000.0,GBP,MTH,MTH,0.0
Fixed,0.8409,nan,0.0,ACT/365.FIXED,26000000.0,GBP,MTH,MTH,Float,0.0,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,0.0,ACT/365.FIXED,26000000.0,GBP,MTH,MTH,0.0
Fixed,6.061,nan,0.0,ACT/365.FIXED,170000000.0,ZAR,MTH,MTH,Float,0.0,ZAR.ZAR-JIBAR-SAFEX.3M.ZAR-JIBAR-SAFEX,0.0,ACT/365.FIXED,170000000.0,ZAR,MTH,MTH,0.0
Fixed,0.4222,nan,0.0,ACT/360,380000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,380000000.0,EUR,MTH,MTH,0.0
Fixed,0.4108,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.408,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.3995,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.3967,nan,0.0,ACT/360,250000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,250000000.0,EUR,MTH,MTH,0.0
Fixed,0.3856,nan,0.0,ACT/360,380000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.0,ACT/360,380000000.0,EUR,MTH,MTH,0.0
